loc x,lox y,split,wid,vddiddq,power,freq,psro,pw40,ps40,ivd0,ivd1,ivd2,ivd3,ivio,ivsb,ivsr,frq00,frq0,frq6,frq9,frq12,frq15,frq18,frq21,frq24,frq27,frq30,frq33,frq36,frw39,frq57,frq58,tstclass
8,9,5,9,9.21409893,53.93366623,1.233947296,8.104073836,114.550911,8.570032704,9.193634987,6.89626503,7.37544632,6.094314575,0.923791528,0.034775738,8.105799675,8.232882877,7.745009498,8.065718035,8.156912159,8.300782994,8.74285314,7.996900123,8.017446845,8.098841747,8.397220626,7.707593881,7.963786942,7.88571073,8.065718035,12.41364387,23.57744984,1
2,5,3,7,3.222483635,19.8089447,1.07144995,9.333147102,37.04986572,9.905134005,1.867819071,1.570352793,1.781210184,1.563145876,0.334932834,0.017592432,6.704321861,9.553723999,9.102563482,9.260411275,9.462852432,9.423830676,9.88920425,9.226213479,9.154577896,9.352819149,9.553723999,9.07969401,9.283757933,9.037555302,9.222381024,16.14769587,26.26757453,2
6,5,5,8,9.208835602,54.7330513,1.21656488,8.21986576,114.8068237,8.674665153,7.690882683,7.69607544,7.421048164,7.268695831,0.783177972,0.035499577,8.429237366,8.567118897,8.098841747,8.275763136,8.257995845,8.257995845,8.613178181,8.091167416,8.124671325,8.300782994,8.476461261,7.930946438,8.050508484,7.963786942,8.043424401,12.45782877,23.85175714,1
12,4,3,7,2.652837992,16.18025398,1.040348325,9.61216523,27.1276226,10.14369404,1.322736859,1.385647893,1.31999886,1.335671544,0.281903774,0.016821386,5.602560043,10.03441409,9.53601878,9.391707891,9.650910386,9.53601878,9.971443234,9.61532038,9.553723999,9.650910386,9.82853453,9.44066133,9.462852432,9.283757933,9.502198964,17.27115756,27.36668142,2
6,9,5,1,5.003127098,29.92128944,1.199665387,8.335657685,62.26204681,8.88253273,4.110681057,4.031877041,3.443144321,3.525945187,0.476010621,0.022415401,5.757540226,8.706799804,8.207575931,8.531935691,8.207575931,8.292190316,8.814761955,8.207575931,8.266693826,8.378567131,8.60259307,8.043424401,8.107885009,8.124671325,8.181907077,13.53178058,22.24434098,1
5,6,5,1,7.014659882,42.3365593,1.247042404,8.018973506,91.51077271,8.684430779,6.375069618,5.058028698,5.906525135,5.029830456,0.659912884,0.027372126,7.351433754,8.309749219,7.930946438,8.124671325,8.257995845,8.010255797,8.62417231,7.809150318,7.776947172,8.050508484,8.232882877,7.676069657,7.88571073,7.628814913,7.898375841,13.18728423,21.12661883,1
7,5,5,9,6.439538479,37.74812317,1.173734995,8.519810725,80.94136047,9.013671753,5.180986881,4.40500021,5.145046711,4.631467342,0.616049826,0.022918942,6.879293919,8.766328932,8.521548992,8.521548992,8.754378214,8.613178181,9.042709579,8.441650493,8.344016294,8.521548992,8.754378214,8.215646531,8.344016294,8.148443627,8.266693826,13.08072149,24.91485947,1
7,10,5,9,9.141070366,54.00061417,1.270246278,7.872489119,120.7612152,8.351004784,8.675806999,7.317035675,7.192755699,6.764778137,0.844625592,0.034130577,7.956413269,8.158453454,7.602615114,8.043424401,7.841620601,8.060112066,8.292190316,7.686321126,7.793015215,7.891877573,8.082246083,7.561478441,7.660404535,7.702169143,7.809150318,12.12349577,21.54010934,1
11,5,5,9,7.94723177,45.51308441,1.240567606,8.060826312,100.8974533,8.535156089,6.521127701,5.664133549,6.55275631,5.56566,0.720652401,0.028843407,7.3101511,8.207575931,7.898375841,7.853191676,8.292190316,8.148443627,8.682767572,7.970403814,7.996900123,8.091167416,8.319091208,7.80491439,7.944732744,7.707593881,7.88571073,12.66247574,21.8896447,1
10,4,5,8,9.852170944,58.5779953,1.263974562,7.911551622,109.7662354,8.352399501,8.576955795,7.769403458,8.873446465,7.646350861,0.908228993,0.034744266,8.365013123,8.098841747,7.809150318,7.766220179,8.158453454,7.947332605,8.476461261,7.814883759,7.814883759,7.970403814,8.074519101,7.660404535,7.853191676,7.521367081,7.776947172,12.50695846,21.62644182,1
9,10,3,6,4.612820625,31.26393127,1.179723525,8.476562334,64.23522949,8.920201383,3.406322956,2.74753499,2.912129641,2.743160486,0.437238038,0.022596361,10.11837101,8.706799804,8.065718035,8.531935691,8.466762907,8.838927755,9.102563482,8.353255751,8.441650493,8.441650493,8.74285314,8.098841747,8.300782994,8.181907077,8.353255751,14.65253877,23.68742327,2
6,7,5,1,4.316479683,25.75632095,1.168568639,8.557477643,54.40193176,9.165735879,3.483616352,3.028447628,2.958707094,2.842861414,0.416018546,0.019732477,5.552237511,8.851111247,8.387702394,8.706799804,8.613178181,8.706799804,9.15058915,8.353255751,8.466762907,8.504015028,8.876796173,8.124671325,8.266693826,8.292190316,8.441650493,14.12923444,22.42409335,1
3,9,3,2,2.866472721,18.13771439,1.054893327,9.47963149,32.27449799,9.979073123,1.723491907,1.508448839,1.687866449,1.392634511,0.345766813,0.017686846,6.083810806,9.631052564,9.113239486,9.363752866,9.44066133,9.728487243,10.24640008,9.275999915,9.499178447,9.496856251,9.809054689,9.102563482,9.330244524,9.140255656,9.44066133,16.55152627,29.94430321,2
4,5,5,1,7.111906052,42.07353973,1.263751777,7.91294634,80.84660339,9.115513899,6.367610931,5.077289105,5.875179768,5.08874464,0.660487235,0.025247816,7.022283554,8.091167416,7.820940866,7.80491439,8.091167416,7.996900123,8.431847945,7.795439387,7.795439387,7.80491439,8.132239799,7.692256858,7.795439387,7.628814913,7.853191676,12.61068579,20.48820898,1
6,10,3,4,4.757604122,32.78590012,1.154639146,8.660714507,63.84635925,9.147600212,3.16821146,3.065300465,2.907251597,3.172806263,0.450739205,0.020983459,10.75323296,8.974299021,8.397220626,8.974299021,8.556834729,8.754378214,9.178260413,8.501967727,8.556834729,8.74285314,8.875679967,8.378567131,8.387702394,8.431847945,8.486552559,14.12923444,26.26757453,2
5,4,3,2,2.838290215,17.96582985,1.024000006,9.765624941,31.86751556,10.25948597,1.548134089,1.434365392,1.476473928,1.430337071,0.288111478,0.016247036,6.400191307,10.38527071,9.731167467,9.849839984,9.650910386,9.848591873,10.40292938,9.571966814,9.650910386,9.849839984,9.950755185,9.475893307,9.423830676,9.391707891,9.44066133,16.56493515,30.65068523,2
